Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
3.9100e-08,0.0914,-1.72,0.0572
3.9500e-08,0.0898,-1.8,0.0568
3.9900e-08,0.0886,-1.76,0.056
4.0300e-08,0.0874,-1.76,0.0548
4.0700e-08,0.0878,-1.76,0.0548
4.1100e-08,0.0898,-1.8,0.0544
4.1500e-08,0.0914,-1.76,0.0536
4.1900e-08,0.0938,-1.76,0.054
4.2300e-08,0.0954,-1.8,0.0552
4.2700e-08,0.097,-1.8,0.056
4.3100e-08,0.0978,-1.8,0.056
4.3500e-08,0.0994,-1.76,0.0552
4.3900e-08,0.0994,-1.72,0.0548
4.4300e-08,0.099,-1.72,0.0556
4.4700e-08,0.097,-1.76,0.054
4.5100e-08,0.097,-1.8,0.0528
4.5500e-08,0.0978,-1.76,0.0532
4.5900e-08,0.101,-1.72,0.0544
4.6300e-08,0.1022,-1.76,0.0552
4.6700e-08,0.1034,-1.76,0.0548
4.7100e-08,0.1026,-1.76,0.0552
4.7500e-08,0.101,-1.72,0.0556
4.7900e-08,0.0994,-1.76,0.056
4.8300e-08,0.0982,-1.8,0.0552
4.8700e-08,0.0986,-1.76,0.0536
4.9100e-08,0.0998,-1.8,0.0532
4.9500e-08,0.1014,-1.76,0.0528
4.9900e-08,0.1034,-1.76,0.0528
5.0300e-08,0.1038,-1.76,0.0528
5.0700e-08,0.103,-1.76,0.054
5.1100e-08,0.1018,-1.72,0.0548
5.1500e-08,0.1002,-1.76,0.056
5.1900e-08,0.0998,-1.76,0.0556
5.2300e-08,0.0986,-1.76,0.0552
5.2700e-08,0.0974,-1.76,0.0548
5.3100e-08,0.097,-1.76,0.054
5.3500e-08,0.0966,-1.76,0.0532
5.3900e-08,0.0966,-1.72,0.0528
5.4300e-08,0.0954,-1.76,0.0528
5.4700e-08,0.095,-1.72,0.0536
5.5100e-08,0.0942,-1.76,0.0544
5.5500e-08,0.0934,-1.72,0.0548
5.5900e-08,0.0922,-1.8,0.0556
5.6300e-08,0.0922,-1.76,0.056
5.6700e-08,0.0914,-1.76,0.0552
5.7100e-08,0.091,-1.76,0.0548
5.7500e-08,0.0918,-1.8,0.0532
5.7900e-08,0.0922,-1.76,0.0532
5.8300e-08,0.0926,-1.76,0.0536
5.8700e-08,0.0922,-1.76,0.0532
5.9100e-08,0.091,-1.72,0.0532
5.9500e-08,0.0894,-1.76,0.054
5.9900e-08,0.0894,-1.76,0.0552
6.0300e-08,0.0902,-1.76,0.0552
6.0700e-08,0.0898,-1.72,0.0552
6.1100e-08,0.0886,-1.76,0.0548
6.1500e-08,0.0878,-1.72,0.0556
6.1900e-08,0.0878,-1.76,0.0548
6.2300e-08,0.0898,-1.72,0.0536
6.2700e-08,0.0918,-1.76,0.0528
6.3100e-08,0.0926,-1.8,0.0528
6.3500e-08,0.0926,-1.76,0.0536
6.3900e-08,0.0906,-1.8,0.0536
6.4300e-08,0.089,-1.76,0.054
6.4700e-08,0.0886,-1.76,0.0544
6.5100e-08,0.0874,-1.72,0.0556
6.5500e-08,0.087,-1.72,0.0556
6.5900e-08,0.0882,-1.76,0.0544
6.6300e-08,0.0898,-1.72,0.0532
6.6700e-08,0.0922,-1.8,0.0532
6.7100e-08,0.0934,-1.76,0.0536
6.7500e-08,0.0922,-1.76,0.0532
6.7900e-08,0.0902,-1.76,0.0532
6.8300e-08,0.0878,-1.76,0.0544
6.8700e-08,0.0858,-1.76,0.0556
6.9100e-08,0.0854,-1.76,0.0556
6.9500e-08,0.0854,-1.8,0.0548
6.9900e-08,0.0866,-1.76,0.0552
7.0300e-08,0.0894,-1.72,0.0548
7.0700e-08,0.091,-1.76,0.054
7.1100e-08,0.0914,-1.76,0.0532
7.1500e-08,0.0906,-1.76,0.0528
7.1900e-08,0.089,-1.72,0.0528
7.2300e-08,0.0874,-1.76,0.054
7.2700e-08,0.0862,-1.76,0.054
7.3100e-08,0.0866,-1.76,0.0548
7.3500e-08,0.0874,-1.72,0.0556
7.3900e-08,0.0882,-1.76,0.0564
7.4300e-08,0.0898,-1.76,0.0564
7.4700e-08,0.0914,-1.8,0.0544
7.5100e-08,0.0922,-1.8,0.054
7.5500e-08,0.0906,-1.76,0.0536
7.5900e-08,0.0894,-1.8,0.0532
7.6300e-08,0.0878,-1.72,0.0524
7.6700e-08,0.087,-1.76,0.0528
7.7100e-08,0.087,-1.72,0.054
7.7500e-08,0.0882,-1.76,0.0556
7.7900e-08,0.0894,-1.76,0.0556
7.8300e-08,0.0902,-1.76,0.0556
7.8700e-08,0.0914,-1.76,0.0556
7.9100e-08,0.0922,-1.76,0.0552
7.9500e-08,0.0918,-1.72,0.0548
7.9900e-08,0.091,-1.76,0.0536
8.0300e-08,0.0898,-1.72,0.0528
8.0700e-08,0.0878,-1.72,0.0532
8.1100e-08,0.0874,-1.76,0.0544
8.1500e-08,0.0882,-1.76,0.054
8.1900e-08,0.0898,-1.76,0.0544
8.2300e-08,0.0906,-1.68,0.0556
8.2700e-08,0.0918,-1.72,0.0568
8.3100e-08,0.0914,-1.72,0.056
8.3500e-08,0.0902,-1.76,0.0548
8.3900e-08,0.0894,-1.72,0.0536
8.4300e-08,0.0882,-1.72,0.0532
8.4700e-08,0.0882,-1.8,0.0532
8.5100e-08,0.0878,-1.8,0.0532
8.5500e-08,0.0882,-1.72,0.0528
8.5900e-08,0.0886,-1.52,0.0544
8.6300e-08,0.089,-1.16,0.0556
8.6700e-08,0.0898,-0.84,0.056
8.7100e-08,0.0898,-0.68,0.0552
8.7500e-08,0.0902,-0.6,0.0552
8.7900e-08,0.0902,-0.52,0.0548
8.8300e-08,0.089,-0.44,0.054
8.8700e-08,0.089,-0.44,0.0536
8.9100e-08,0.0886,-0.44,0.0528
8.9500e-08,0.0898,-0.44,0.0536
8.9900e-08,0.091,-0.36,0.054
9.0300e-08,0.091,-0.4,0.0552
9.0700e-08,0.0906,-0.36,0.0548
9.1100e-08,0.0902,-0.36,0.0556
9.1500e-08,0.0898,-0.4,0.0564
9.1900e-08,0.0886,-0.4,0.0556
9.2300e-08,0.0878,-0.36,0.0548
9.2700e-08,0.0882,-0.36,0.0536
9.3100e-08,0.0886,-0.36,0.0532
9.3500e-08,0.0898,-0.4,0.0532
9.3900e-08,0.0902,-0.64,0.0536
9.4300e-08,0.0906,-0.96,0.054
9.4700e-08,0.0898,-1.32,0.0552
9.5100e-08,0.0886,-1.44,0.0556
9.5500e-08,0.0894,-1.52,0.056
9.5900e-08,0.089,-1.6,0.0556
9.6300e-08,0.089,-1.64,0.0556
9.6700e-08,0.0894,-1.64,0.0548
9.7100e-08,0.089,-1.64,0.054
9.7500e-08,0.0898,-1.68,0.0528
9.7900e-08,0.0894,-1.68,0.0528
9.8300e-08,0.0898,-1.72,0.054
9.8700e-08,0.089,-1.68,0.0548
9.9100e-08,0.0886,-1.76,0.0548
9.9500e-08,0.0878,-1.72,0.0548
9.9900e-08,0.0878,-1.76,0.056
1.0030e-07,0.0886,-1.76,0.0568
1.0070e-07,0.0898,-1.68,0.0548
1.0110e-07,0.0902,-1.72,0.0536
1.0150e-07,0.0898,-1.76,0.0528
1.0190e-07,0.0898,-1.76,0.0528
1.0230e-07,0.0902,-1.76,0.0532
1.0270e-07,0.0922,-1.72,0.0532
1.0310e-07,0.0922,-1.72,0.054
1.0350e-07,0.0906,-1.8,0.0548
1.0390e-07,0.0886,-1.72,0.0564
1.0430e-07,0.087,-1.76,0.0556
1.0470e-07,0.0874,-1.72,0.0552
1.0510e-07,0.0886,-1.68,0.0544
1.0550e-07,0.0894,-1.72,0.0544
1.0590e-07,0.0902,-1.68,0.054
1.0630e-07,0.0902,-1.76,0.0528
1.0670e-07,0.0898,-1.72,0.0532
1.0710e-07,0.089,-1.76,0.0548
1.0750e-07,0.0886,-1.72,0.0556
1.0790e-07,0.0878,-1.72,0.0552
1.0830e-07,0.0874,-1.76,0.0556
1.0870e-07,0.0866,-1.72,0.056
1.0910e-07,0.0874,-1.72,0.0564
1.0950e-07,0.0886,-1.72,0.0552
1.0990e-07,0.0906,-1.72,0.054
1.1030e-07,0.0918,-1.76,0.0532
1.1070e-07,0.0922,-1.76,0.0532
1.1110e-07,0.0914,-1.72,0.0532
1.1150e-07,0.0898,-1.76,0.0528
1.1190e-07,0.0882,-1.72,0.0548
1.1230e-07,0.0886,-1.76,0.056
1.1270e-07,0.0886,-1.76,0.056
1.1310e-07,0.089,-1.72,0.0556
1.1350e-07,0.0894,-1.72,0.0548
1.1390e-07,0.0906,-1.72,0.0548
1.1430e-07,0.0918,-1.72,0.054
1.1470e-07,0.0914,-1.76,0.0536

